"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Adult18plus","Age18to34","Age35to49","Age50to64","Age65plus","CompMOS","pi_tract","pi_bg_given_tract","pi_overall_bg","f_person_18to34","f_person_35to49","f_person_50to64","f_person_65plus","listed_18to34","listed_35to49","listed_50to64","listed_65plus","total_listed","expected_resp_18to34","expected_resp_35to49","expected_resp_50to64","expected_resp_65plus","expected_total_resp","base_wt_18to34","base_wt_35to49","base_wt_50to64","base_wt_65plus","select_n_18to34","select_n_35to49","select_n_50to64","select_n_65plus","expected_comp_from_select_18to34","expected_comp_from_select_35to49","expected_comp_from_select_50to64","expected_comp_from_select_65plus","total_selected","expected_total_comp_from_select"
"261635318001","26163531800","Block Group 1; Census Tract 5318; Wayne County; Michigan",465,779,576,191,139,153,93,2.5846887538558,0.0936509304807918,0.51241093230239,0.0479877605986489,0.0922547340217333,0.102207345910968,0.0884830662324469,0.0913551822373809,17.6206541981511,14.2068210816245,13.5379091335644,8.49603194807642,53.8614163614164,6.16722896935287,6.39306948673103,6.76895456678218,5.52242076624968,24.8516737891158,225.8816,203.886,235.51,228.1058,18,14,13,8,6.3,6.3,6.5,5.2,53,24.3
"261635336002","26163533600","Block Group 2; Census Tract 5336; Wayne County; Michigan",577,816,597,172,169,156,100,2.69114076645032,0.086428533490866,0.578098046131997,0.0499641663411234,0.0886054629652293,0.098164384721495,0.0849829890167158,0.0877414942685663,15.2401396300194,16.5897810179327,13.2573462866077,8.77414942685663,53.8614163614164,5.3340488705068,7.4654014580697,6.62867314330383,5.70319712745681,25.1313205993371,225.8816,203.886,235.51,228.1058,16,16,13,8,5.6,7.2,6.5,5.2,53,24.5
"261635347001","26163534700","Block Group 1; Census Tract 5347; Wayne County; Michigan",544,1104,764,237,192,180,155,3.43473296479401,0.184257208771941,0.346091330678945,0.0637698225710692,0.0694230893522265,0.0769125810493309,0.0665848520225208,0.0687461629639574,16.4532721764777,14.7672155614715,11.9852733640538,10.6556552594134,53.8614163614164,5.75864526176719,6.64524700266219,5.99263668202688,6.92617591861871,25.322704865075,225.8816,203.886,235.51,228.1058,17,15,12,10,5.95,6.75,6,6.5,54,25.2
"261635356001","26163535600","Block Group 1; Census Tract 5356; Wayne County; Michigan",299,659,531,133,114,152,132,2.37202671321395,0.240410491619232,0.183184359144923,0.044039441838985,0.100525753857488,0.111370658713868,0.0964159403954635,0.0995455535218114,13.3699252630459,12.6962550933809,14.6552229401104,13.1400130648791,53.8614163614164,4.67947384206607,5.7133147920214,7.32761147005522,8.54100849217141,26.2614085963141,225.8816,203.886,235.51,228.1058,14,13,14,13,4.9,5.85,7,8.45,54,26.2
"261635365002","26163536500","Block Group 2; Census Tract 5365; Wayne County; Michigan",644,1207,906,275,234,224,173,4.07469949723761,0.133244899884576,0.567763175522106,0.0756515474805917,0.0585195972555979,0.0648327999933789,0.0561271294613819,0.0579489879672067,16.0928892452894,15.1708751984507,12.5724769993495,10.0251749183268,53.8614163614164,5.6325112358513,6.8268938393028,6.28623849967477,6.51636369691239,25.2620072717413,225.8816,203.886,235.51,228.1058,17,15,12,10,5.95,6.75,6,6.5,54,25.2
"261635372001","26163537200","Block Group 1; Census Tract 5372; Wayne County; Michigan",350,583,450,122,131,126,71,2.02889008554115,0.0376687102308462,1,0.0376687102308462,0.117527201308361,0.13020625386272,0.112722314445478,0.116381224304926,14.33831855962,17.0570192560164,14.2030116201303,8.26306692564975,53.8614163614164,5.018411495867,7.67565866520736,7.10150581006513,5.37099350167234,25.1665694728118,225.8816,203.886,235.51,228.1058,15,17,14,8,5.25,7.65,7,5.2,54,25.1
"261635382001","26163538200","Block Group 1; Census Tract 5382; Wayne County; Michigan",436,1105,905,193,222,222,268,4.06080223406009,0.134880071474177,0.558967145855896,0.0753935285847597,0.0587198685806287,0.0650546769605669,0.0563192130558454,0.0581473064989235,11.3329346360613,14.4421382852459,12.5028652983977,15.5834781417115,53.8614163614164,3.96652712262147,6.49896222836064,6.25143264919884,10.1292607921125,26.8461827922934,225.8816,203.886,235.51,228.1058,12,14,12,15,4.2,6.3,6,9.75,53,26.25
"261635386003","26163538600","Block Group 3; Census Tract 5386; Wayne County; Michigan",457,1111,882,248,187,251,196,3.94012208891059,0.301032331040866,0.24300699103552,0.0731529609706494,0.0605183718004691,0.0670472060449705,0.0580441877274207,0.0599282729842242,15.0085562065163,12.5378275304095,14.5690911195826,11.7459415049079,53.8614163614164,5.25299467228072,5.64202238868426,7.2845455597913,7.63486197819016,25.8144245989464,225.8816,203.886,235.51,228.1058,16,12,14,11,5.6,5.4,7,7.15,53,25.15
"261635392001","26163539200","Block Group 1; Census Tract 5392; Wayne County; Michigan",1142,2152,1745,396,409,480,460,7.81389191584313,0.324540108342163,0.447014131992862,0.145074014827442,0.0305161340960528,0.0338082712664477,0.0292685371977027,0.0302185792532718,12.0843891020369,13.8275829479771,14.0488978548973,13.900546456505,53.8614163614164,4.22953618571292,6.22241232658971,7.02444892744865,9.03535519672826,26.5117526364795,225.8816,203.886,235.51,228.1058,13,14,14,13,4.55,6.3,7,8.45,54,26.3
"261635396002","26163539600","Block Group 2; Census Tract 5396; Wayne County; Michigan",728,1829,1389,391,340,323,335,6.23870232561157,0.202976036158076,0.570652504222233,0.115828783330708,0.0382210532047716,0.0423444113454525,0.036658454637081,0.037848369710805,14.9444318030657,14.3970998574539,11.8406808477771,12.6792038531197,53.8614163614164,5.23055113107299,6.47869493585424,5.92034042388857,8.24148250452778,25.8710689953436,225.8816,203.886,235.51,228.1058,16,14,12,12,5.6,6.3,6,7.8,54,25.7
"261635404002","26163540400","Block Group 2; Census Tract 5404; Wayne County; Michigan",642,1232,962,258,215,286,203,4.3010258772113,0.168411822471341,0.474156501969331,0.079853560633291,0.055440208992776,0.061421201610815,0.0531736364129873,0.0548996260139928,14.3035739201362,13.2055583463252,15.2076600141144,11.1446240808405,53.8614163614164,5.00625087204768,5.94250125584636,7.60383000705718,7.24400565254635,25.7965877874976,225.8816,203.886,235.51,228.1058,15,13,15,11,5.25,5.85,7.5,7.15,54,25.75
"261635409001","26163540900","Block Group 1; Census Tract 5409; Wayne County; Michigan",452,993,743,212,164,186,181,3.32618268759724,0.21970101611281,0.281084089605929,0.0617544600995667,0.0716887182430088,0.0794226301888311,0.0687578547776316,0.0709897002999486,15.1980082675179,13.0253113509683,12.7889609886395,12.8491357542907,53.8614163614164,5.31930289363125,5.86139010793574,6.39448049431974,8.35193824028896,25.9271117361757,225.8816,203.886,235.51,228.1058,16,13,13,12,5.6,5.85,6.5,7.8,54,25.75
"261635415001","26163541500","Block Group 1; Census Tract 5415; Wayne County; Michigan",814,1682,1352,373,289,378,312,6.04158010281856,0.240471085481132,0.466455163144576,0.112168979409655,0.039468114211494,0.0437260076075601,0.0378545318121311,0.0390832709517908,14.7216066008872,12.6368161985849,14.3090130249856,12.1939805369587,53.8614163614164,5.15256231031054,5.68656728936319,7.15450651249278,7.92608734902317,25.9197234611897,225.8816,203.886,235.51,228.1058,15,13,14,12,5.25,5.85,7,7.8,54,25.9
"261635423001","26163542300","Block Group 1; Census Tract 5423; Wayne County; Michigan",367,858,667,217,161,149,140,2.99675706252939,0.145194806703294,0.383197515846675,0.0556382892425406,0.0795692705616484,0.0881533511143386,0.0763162249810965,0.0787934114139055,17.2665317118777,14.1926895294085,11.3711175221834,11.0310775979468,53.8614163614164,6.0432860991572,6.38671028823383,5.68555876109169,7.1702004386654,25.2857555871481,225.8816,203.886,235.51,228.1058,18,14,11,11,6.3,6.3,5.5,7.15,54,25.25
"261635431002","26163543100","Block Group 2; Census Tract 5431; Wayne County; Michigan",420,1107,878,206,178,218,276,3.92063466488603,0.159134727240582,0.457418411948659,0.07279115422027,0.0608191769693654,0.0673804626336452,0.0583326950215422,0.0602261450805871,12.5287504556893,11.9937223487889,12.7165275146962,16.622416042242,53.8614163614164,4.38506265949124,5.39717505695498,6.3582637573481,10.8045704274573,26.9450719012517,225.8816,203.886,235.51,228.1058,13,12,12,16,4.55,5.4,6,10.4,53,26.35
"261635440001","26163544000","Block Group 1; Census Tract 5440; Wayne County; Michigan",1250,2534,1985,694,473,568,250,8.90009979263822,0.165240730635777,1,0.165240730635777,0.0267918089764755,0.0296821590423111,0.0256964743683947,0.0265305690539243,18.593515429674,14.0396612270131,14.5955974412482,6.63264226348107,53.8614163614164,6.50773040038589,6.31784755215591,7.2977987206241,4.31121747126269,24.4345941444286,225.8816,203.886,235.51,228.1058,20,14,14,6,7,6.3,7,3.9,54,24.2
"261635455001","26163545500","Block Group 1; Census Tract 5455; Wayne County; Michigan",440,1245,835,308,231,196,100,3.76716177682459,0.21705202775994,0.322234958216049,0.0699417510959329,0.0632969295300415,0.0701255197381528,0.0607091491543163,0.062679737724043,19.4954542952528,16.1989950595133,11.898993234246,6.2679737724043,53.8614163614164,6.82340900333847,7.28954777678098,5.94949661712299,4.0741829520628,24.1366363493052,225.8816,203.886,235.51,228.1058,20,16,12,6,7,7.2,6,3.9,54,24.1
"261635459001","26163545900","Block Group 1; Census Tract 5459; Wayne County; Michigan",826,1861,1282,494,348,309,131,5.78016373791039,0.211809149316701,0.506661209471243,0.107315479769875,0.041253117442333,0.045703580299099,0.039566558417316,0.0408508690829523,20.3790400165125,15.9048459440864,12.2260665509506,5.35146384986675,53.8614163614164,7.13266400577938,7.1571806748389,6.11303327547532,3.47845150241339,23.881329458507,225.8816,203.886,235.51,228.1058,21,16,12,5,7.35,7.2,6,3.25,54,23.8
"261635467002","26163546700","Block Group 2; Census Tract 5467; Wayne County; Michigan",559,1091,823,285,202,210,126,3.69652982775665,0.17406474781041,0.394280791856046,0.0686303866009113,0.0645063842648992,0.0714654526940067,0.0618691575218472,0.063877399382086,18.3843195154963,14.4360214441893,12.9925230795879,8.04855232214284,53.8614163614164,6.43451183042369,6.49620964988521,6.49626153979396,5.23155900939285,24.6585420294957,225.8816,203.886,235.51,228.1058,19,14,13,8,6.65,6.3,6.5,5.2,54,24.65
