"Tract","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS","nBGs"
"26163533800","Census Tract 5338; Wayne County; Michigan",1184,1921,410,345,420,270,476,1445,6.47425731495182,4
"26163533900","Census Tract 5339; Wayne County; Michigan",2610,3356,1262,566,704,385,439,2917,13.040129565211,4
"26163534100","Census Tract 5341; Wayne County; Michigan",1127,1691,359,321,404,232,375,1316,5.89623544226999,2
"26163534200","Census Tract 5342; Wayne County; Michigan",1632,2991,670,519,608,460,734,2257,10.1099353112854,3
"26163534300","Census Tract 5343; Wayne County; Michigan",676,1087,283,194,207,136,267,820,3.67953901194835,1
"26163534400","Census Tract 5344; Wayne County; Michigan",874,1474,348,251,328,208,339,1135,5.07628999408062,2
"26163534700","Census Tract 5347; Wayne County; Michigan",1463,3056,669,521,594,430,842,2214,9.92435423925792,3
"26163534800","Census Tract 5348; Wayne County; Michigan",1194,2205,471,427,406,337,564,1641,7.38077372590589,3
"26163535000","Census Tract 5350; Wayne County; Michigan",1241,2411,561,449,464,334,603,1808,8.12023824199036,3
"26163535100","Census Tract 5351; Wayne County; Michigan",819,1717,439,295,311,222,450,1267,5.68415404998372,2
"26163535200","Census Tract 5352; Wayne County; Michigan",1057,2019,517,387,344,268,503,1516,6.82248249940727,2
"26163535300","Census Tract 5353; Wayne County; Michigan",1629,3950,914,711,667,570,1088,2862,12.8646024769253,3
"26163535600","Census Tract 5356; Wayne County; Michigan",1613,3727,816,614,740,726,831,2896,12.9488495867562,4
"26163535700","Census Tract 5357; Wayne County; Michigan",621,1313,284,223,214,176,416,897,4.03128241178356,1
"26163535800","Census Tract 5358; Wayne County; Michigan",1864,3944,890,702,814,560,978,2966,13.2945478190993,5
"26163536100","Census Tract 5361; Wayne County; Michigan",1763,3327,788,530,545,554,910,2417,10.8308695172764,3
"26163536200","Census Tract 5362; Wayne County; Michigan",878,2165,487,376,384,298,620,1545,6.93707992499596,2
"26163536300","Census Tract 5363; Wayne County; Michigan",1365,2736,715,464,473,345,739,1997,8.96202004716145,3
"26163536400","Census Tract 5364; Wayne County; Michigan",1242,2145,462,382,446,319,536,1609,7.21115168589012,3
"26163536500","Census Tract 5365; Wayne County; Michigan",1126,2097,488,400,390,319,500,1597,7.17675903071836,2
"26163536600","Census Tract 5366; Wayne County; Michigan",1404,2535,530,472,529,374,630,1905,8.54716033661814,2
"26163536700","Census Tract 5367; Wayne County; Michigan",575,1055,226,180,205,194,250,805,3.60430436499283,1
"26163536800","Census Tract 5368; Wayne County; Michigan",735,1667,398,301,254,201,513,1154,5.19798075588896,1
