"BlockGroup","TractFIPS","NAME","TotHH","TotPerson","Age18to34","Age35to49","Age50to64","Age65plus","AgeUnder18","Adult18plus","CompMOS"
"261635254002","26163525400","Block Group 2; Census Tract 5254; Wayne County; Michigan",383,1029,268,183,175,94,309,720,3.23918040228031
"261635257001","26163525700","Block Group 1; Census Tract 5257; Wayne County; Michigan",480,1436,349,304,198,95,490,946,4.29328857408444
"261635257002","26163525700","Block Group 2; Census Tract 5257; Wayne County; Michigan",1,9,0,0,1,0,8,1,0.00424610419939705
"261635257003","26163525700","Block Group 3; Census Tract 5257; Wayne County; Michigan",569,1590,410,340,216,104,520,1070,4.85579606800737
"261635257004","26163525700","Block Group 4; Census Tract 5257; Wayne County; Michigan",433,1368,298,312,191,88,479,889,4.0463339409554
"261635258001","26163525800","Block Group 1; Census Tract 5258; Wayne County; Michigan",288,762,198,164,110,34,256,506,2.29706159482444
"261635258002","26163525800","Block Group 2; Census Tract 5258; Wayne County; Michigan",352,1019,262,188,123,61,385,634,2.87167419332114
"261635259001","26163525900","Block Group 1; Census Tract 5259; Wayne County; Michigan",310,820,187,195,91,87,260,560,2.55208160967589
"261635259002","26163525900","Block Group 2; Census Tract 5259; Wayne County; Michigan",275,741,177,166,121,33,244,497,2.25622515380028
"261635259003","26163525900","Block Group 3; Census Tract 5259; Wayne County; Michigan",377,1049,270,186,170,88,335,714,3.21521459871706
"261635260001","26163526000","Block Group 1; Census Tract 5260; Wayne County; Michigan",532,1648,450,300,216,94,588,1060,4.79285261959396
"261635260002","26163526000","Block Group 2; Census Tract 5260; Wayne County; Michigan",433,1395,384,238,167,99,507,888,4.01043319082127
"261635261001","26163526100","Block Group 1; Census Tract 5261; Wayne County; Michigan",326,1249,333,205,130,76,505,744,3.36485977434891
"261635261002","26163526100","Block Group 2; Census Tract 5261; Wayne County; Michigan",421,1504,408,263,154,110,569,935,4.23232496833311
"261635262001","26163526200","Block Group 1; Census Tract 5262; Wayne County; Michigan",338,1239,342,222,127,82,466,773,3.50164885625056
"261635262002","26163526200","Block Group 2; Census Tract 5262; Wayne County; Michigan",258,830,214,161,85,45,325,505,2.29525169110493
"261635262003","26163526200","Block Group 3; Census Tract 5262; Wayne County; Michigan",279,957,254,197,88,52,366,591,2.69233070091073
"261635263001","26163526300","Block Group 1; Census Tract 5263; Wayne County; Michigan",341,1017,241,211,134,53,378,639,2.90314897258138
"261635263002","26163526300","Block Group 2; Census Tract 5263; Wayne County; Michigan",333,935,226,180,125,69,335,600,2.7166247022094
"261635263003","26163526300","Block Group 3; Census Tract 5263; Wayne County; Michigan",432,1393,360,294,131,80,528,865,3.94269169602864
"261635264001","26163526400","Block Group 1; Census Tract 5264; Wayne County; Michigan",248,742,201,144,97,64,236,506,2.28856742000288
"261635264002","26163526400","Block Group 2; Census Tract 5264; Wayne County; Michigan",260,675,162,121,108,67,217,458,2.06296139463648
"261635265001","26163526500","Block Group 1; Census Tract 5265; Wayne County; Michigan",521,940,238,162,169,123,248,692,3.10502608761209
